A AA AAL AAP AAPL 
ABBV ABG ABM ABT AC 
ACA ACAD ACB ACI ACM 
ACN ADBE ADP ADSK AEE 
AEO AEP AES AFG AFL 
AGCO AGL AGNC AI AIG 
AIR AIZ AJG AKAM ALB 
ALK ALL ALLY ALRM ALV 
AMAT AMD AMGN AMP AMS 
AMWL AMX AMZN AN ANF 
ANGI ANSS APA APD APH 
API APP APPN APPS APRN 
ARMK ARW ASAN ASGN ASH 
ASO ATHM ATO ATVI AVDX 
AVID AVT AVY AXP AYX 
AZO B BA BABA BAC 
BAER BAH BAND BASE BAX 
BB BBVA BBWI BBY BDX 
BEN BERY BGC BIDU BIG 
BIGC BIIB BILI BILL BJ 
BK BKNG BKYI BL BLDR 
BLK BLND BMBL BMY BN 
BOOT BOX BP BR BSY 
BTU BURL BWA BX BYND 
BZUN C CACI CAG CAH 
CAL CALM CAR CARA CARG 
CASY CAT CB CBRE CCK 
CDAY CDLX CDNS CDW CE 
CENN CF CFLT CFR CHK 
CHKP CHPT CHRW CHTR CHWY 
CI CINF CL CLF CLMT 
CLSK CLX CMC CMCSA CMI 
CMS CNC CNHI CNP COF 
COP COST COUR CPB CPNG 
CPRI CPRT CRBP CRI CRM 
CRNC CRON CRSR CRWD CSCO 
CSGP CSX CTSH CURV CVLT 
CVNA CVS CVX CWH CX 
CXAI CYBR CYH CZR D 
DAL DAN DAVA DB DBX 
DD DDD DDOG DDS DE 
DFS DG DGX DHI DHR 
DIS DISH DK DKS DLB 
DLO DLTR DOCN DOCS DOCU 
DOMO DOV DOW DOX DRI 
DT DTE DTG DUK DUOL 
DVA DVN EA EBAY ECL 
ED EEFT EGAN EGHT EH 
EIX EL EME EMN EMR 
ENFN ENG ENS ENV EOG 
EPAM EPD ES ESTC ET 
ETR ETSY ETWO EVA EVBG 
EVGO EVO EXC EXLS EXPD 
EXPE EYE F FAF FBK 
FCEL FCX FDS FDX FE 
FFIV FICO FIS FITB FIVE 
FL FLR FLS FLWS FMC 
FND FNF FOSL FOX FR 
FRGE FROG FSLR FSLY FSR 
FTCH FTDR FTI FTNT FUBO 
FVRR G GAN GD GDDY 
GDRX GDS GDYN GE GEN 
GENI GILD GIS GLBE GLOB 
GLP GLW GM GME GNW 
GO GOEV GOOG GOOGL GPC 
GPI GPRO GPS GRND GRPN 
GS GT GTLB GWRE GWW 
HAL HAS HBI HCA HCAT 
HD HEAR HEI HES HIG 
HII HLT HMC HOG HON 
HOOD HPQ HRL HSIC HST 
HUBS HUM HUN HUT HYZN 
IAC IBM ICE IDEX IDR 
IEP IMAX INFA INFY INGR 
INPX INTC INTU IP IPG 
IQV IRBT IT ITW J 
JBHT JBL JBLU JCI JD 
JEF JFU JKHY JLL JNJ 
JNPR JOUT JPM JWN K 
KBH KBR KC KD KDP 
KELYA KKR KLTR KMB KMI 
KMX KNDI KO KR KSS 
L LAD LAW LCID LDOS 
LEA LEG LEN LESL LEVI 
LGIH LH LI LKQ LLY 
LMT LNC LOVE LOW LPRO 
LRCX LSPD LU LULU LUV 
LVS LYFT LYV M MA 
MAN MANH MANU MARA MARK 
MAS MAT MBC MBLY MC 
MCD MCK MDB MDC MDLZ 
MDT MDU MED MELI MET 
MF MGM MGNI MHK MHO 
MIGI MITK MKL ML MMC 
MMM MMYT MNDY MO MODG 
MOH MOMO MOS MPC MRC 
MRK MS MSCI MSFT MSI 
MSTR MTB MTBL MTCH MTH 
MTTR MTZ MU MUR MUSA 
NATI NAVI NCNO NEE NEGG 
NEM NEP NET NEWR NFLX 
NGL NI NICE NIO NIU 
NKE NKLA NOC NOK NOV 
NOW NRG NSC NSIT NTAP 
NTCT NTES NTNX NU NUE 
NVDA NVEI NVR NVS NWL 
NWSA NXT OB OC ODD 
ODP OI OKE OKTA OLLI 
OLO OMC OMI OR ORA 
ORCL ORI ORLY OSK OSTK 
PAG PAGP PANW PATH PAYC 
PAYX PBF PBR PCAR PCG 
PCOR PCTY PD PDD PEG 
PEGA PEP PFE PFG PG 
PGR PGY PH PHM PHR 
PHUN PII PINS PKG PLCE 
PLTK PLTR PM PNC PPG 
PPL PRCH PSN PSX PTC 
PUBM PVH PWR PX PXD 
PYPL QCOM QD QIWI QLYS 
QRTEA QTWO QUAD R RACE 
RAD RAMP RBA RBLX RDW 
REAL REE RENT RF RGA 
RH RHI RIOT RIVN RJF 
RL RNG ROG ROK ROKU 
ROP ROST RPD RS RSG 
RTX RUSHB RVLV RXO RYAAY 
S SABR SAH SAN SANM 
SAP SBUX SCHW SCPL SDGR 
SE SEB SEE SEMR SF 
SFIX SFM SFT SGE SHAK 
SHCR SHOP SHW SIG SJM 
SKLZ SKY SMAR SMG SMTC 
SMWB SNA SNAP SNBR SNOW 
SNPS SNX SO SOLO SON 
SONO SONY SPB SPG SPGI 
SPLK SPOT SPR SPSC SPT 
SPTN SPWH SQ SQSP SRAD 
SRE SRG SSNC SSTK STLA 
STLD STM STNE STT STZ 
SU SVV SWK SYK SYY 
T TBLA TDS TEAM TEF 
TENB TEO TGS TGT THC 
THG THO TJX TLRY TM 
TME TMHC TMO TOL TOST 
TPH TPR TPX TRGP TRI 
TRIP TRMB TRN TRV TRVG 
TSCO TSLA TSN TSP TTD 
TTWO TV TW TWLO TWOU 
TX TXN TXT TYL U 
UAL UBER UDMY UEIC UG 
UGI UHS UL ULTA UNFI 
UNH UNM UNP UPS UPST 
URBN URI USB V VALE 
VC VEEV VFC VFS VIAV 
VIPS VIV VLO VMEO VMW 
VOD VOYA VRM VRNS VRNT 
VRSK VRSN VSCO VSTO VTEX 
VZ W WB WBA WCC 
WDAY WDC WEC WFC WGO 
WHR WIMI WISH WIX WKHS 
WKME WM WMB WMT WOOF 
WRB WSM WU WY WYNN 
X XEL XELA XELAP XNET 
XOM XP XPEV XRX YEXT 
YNDX YUM YY Z ZD 
ZEPP ZG ZH ZI ZIP 
ZM ZS ZUO ZYNE LOPE 
