time,open,high,low,close,volume
2023-04-06 19:57:00,92.3,92.35,92.3,92.3,2159
2023-04-06 19:56:00,92.3,92.3,92.24,92.25,3706
2023-04-06 19:55:00,92.35,92.35,92.35,92.35,601
2023-04-06 19:51:00,92.31,92.35,92.31,92.35,841
2023-04-06 19:50:00,92.31,92.31,92.31,92.31,189
2023-04-06 19:46:00,92.3,92.3,92.27,92.3,1123
2023-04-06 19:45:00,92.27,92.27,92.27,92.27,240
2023-04-06 19:44:00,92.25,92.26,92.24,92.26,461
2023-04-06 19:43:00,92.25,92.25,92.25,92.25,310
2023-04-06 19:41:00,92.25,92.25,92.25,92.25,505
2023-04-06 19:40:00,92.25,92.25,92.25,92.25,239
2023-04-06 19:39:00,92.26,92.26,92.26,92.26,595
2023-04-06 19:38:00,92.26,92.26,92.26,92.26,240
2023-04-06 19:37:00,92.27,92.27,92.27,92.27,280
2023-04-06 19:36:00,92.26,92.26,92.26,92.26,221
2023-04-06 19:34:00,92.25,92.25,92.25,92.25,115
2023-04-06 19:33:00,92.26,92.27,92.26,92.27,1639
2023-04-06 19:31:00,92.25,92.25,92.25,92.25,201
2023-04-06 19:30:00,92.25,92.27,92.25,92.27,1149
2023-04-06 19:29:00,92.26,92.26,92.26,92.26,1472
2023-04-06 19:26:00,92.27,92.27,92.27,92.27,269
2023-04-06 19:17:00,92.26,92.26,92.26,92.26,166
2023-04-06 19:13:00,92.26,92.26,92.26,92.26,150
2023-04-06 19:12:00,92.25,92.25,92.25,92.25,203
2023-04-06 19:10:00,92.3,92.3,92.28,92.28,998
2023-04-06 19:06:00,92.3,92.3,92.3,92.3,107
2023-04-06 19:03:00,92.25,92.3,92.25,92.3,5085
2023-04-06 19:02:00,92.25,92.25,92.25,92.25,243
2023-04-06 18:59:00,92.2304,92.2304,92.23,92.23,1524
2023-04-06 18:58:00,92.22,92.23,92.22,92.23,559
2023-04-06 18:56:00,92.22,92.25,92.22,92.25,796
2023-04-06 18:55:00,92.23,92.23,92.23,92.23,248
2023-04-06 18:53:00,92.24,92.24,92.24,92.24,172
2023-04-06 18:48:00,92.25,92.25,92.25,92.25,436
2023-04-06 18:43:00,92.24,92.24,92.22,92.22,531
2023-04-06 18:34:00,92.2499,92.2499,92.2499,92.2499,762
2023-04-06 18:29:00,92.24,92.25,92.24,92.25,402
2023-04-06 18:27:00,92.25,92.25,92.23,92.23,504
2023-04-06 18:25:00,92.25,92.25,92.25,92.25,1000
2023-04-06 18:23:00,92.23,92.23,92.23,92.23,325
2023-04-06 18:21:00,92.22,92.22,92.22,92.22,281
2023-04-06 18:20:00,92.23,92.23,92.23,92.23,100
2023-04-06 18:18:00,92.21,92.22,92.21,92.21,2053
2023-04-06 18:16:00,92.2596,92.26,92.2596,92.26,639
2023-04-06 18:13:00,92.23,92.23,92.23,92.23,500
2023-04-06 18:12:00,92.25,92.25,92.25,92.25,119
2023-04-06 18:11:00,92.25,92.25,92.25,92.25,102
2023-04-06 18:08:00,92.222,92.222,92.22,92.22,310
2023-04-06 18:04:00,92.22,92.22,92.22,92.22,107
2023-04-06 18:02:00,92.23,92.23,92.23,92.23,254
2023-04-06 18:00:00,92.26,92.26,92.26,92.26,616
2023-04-06 17:58:00,92.27,92.27,92.27,92.27,205
2023-04-06 17:57:00,92.29,92.29,92.29,92.29,209
2023-04-06 17:49:00,92.3,92.3,92.3,92.3,481
2023-04-06 17:46:00,92.3,92.3,92.3,92.3,204
2023-04-06 17:40:00,92.3,92.3,92.26,92.26,1225
2023-04-06 17:38:00,92.22,92.22,92.22,92.22,257
2023-04-06 17:37:00,92.3,92.3,92.3,92.3,1000
2023-04-06 17:36:00,92.25,92.25,92.25,92.25,1222
2023-04-06 17:33:00,92.25,92.25,92.25,92.25,716
2023-04-06 17:32:00,92.22,92.22,92.22,92.22,567
2023-04-06 17:31:00,92.25,92.25,92.25,92.25,305
2023-04-06 17:28:00,92.22,92.25,92.22,92.25,674
2023-04-06 17:26:00,92.26,92.26,92.25,92.25,1718
2023-04-06 17:25:00,92.21,92.21,92.21,92.21,4023
2023-04-06 17:23:00,92.26,92.26,92.25,92.25,836
2023-04-06 17:22:00,92.27,92.27,92.27,92.27,437
2023-04-06 17:20:00,92.29,92.29,92.29,92.29,217
2023-04-06 17:19:00,92.29,92.29,92.29,92.29,1133
2023-04-06 17:18:00,92.28,92.28,92.28,92.28,201
2023-04-06 17:13:00,92.28,92.3,92.28,92.3,441
2023-04-06 17:12:00,92.3,92.3,92.3,92.3,201
2023-04-06 17:11:00,92.3,92.3,92.2999,92.2999,868
2023-04-06 17:07:00,92.28,92.2999,92.28,92.2999,1102
2023-04-06 17:05:00,92.3,92.3,92.3,92.3,1137
2023-04-06 17:04:00,92.3,92.33,92.3,92.33,305
2023-04-06 17:03:00,92.3,92.3,92.3,92.3,641
2023-04-06 17:02:00,92.31,92.31,92.31,92.31,104
2023-04-06 17:00:00,92.33,92.33,92.33,92.33,557
2023-04-06 16:58:00,92.29,92.29,92.29,92.29,1013
2023-04-06 16:57:00,92.28,92.28,92.28,92.28,300
2023-04-06 16:56:00,92.3,92.3,92.28,92.28,251
2023-04-06 16:55:00,92.29,92.29,92.29,92.29,390
2023-04-06 16:54:00,92.27,92.28,92.27,92.28,2642
2023-04-06 16:53:00,92.28,92.28,92.28,92.28,439
2023-04-06 16:51:00,92.29,92.29,92.29,92.29,228
2023-04-06 16:50:00,92.28,92.29,92.27,92.29,1221
2023-04-06 16:48:00,92.2701,92.31,92.27,92.31,912
2023-04-06 16:46:00,92.34,92.34,92.33,92.33,2209
2023-04-06 16:45:00,92.35,92.35,92.35,92.35,418
2023-04-06 16:43:00,92.35,92.35,92.35,92.35,111
2023-04-06 16:41:00,92.3382,92.47,92.3382,92.47,30519
2023-04-06 16:40:00,92.35,92.35,92.34,92.34,1948
2023-04-06 16:39:00,92.36,92.36,92.36,92.36,111
2023-04-06 16:38:00,92.34,92.3599,92.34,92.3599,1203
2023-04-06 16:36:00,92.34,92.34,92.34,92.34,920
2023-04-06 16:34:00,92.35,92.35,92.35,92.35,395
2023-04-06 16:33:00,92.36,92.36,92.35,92.35,797
2023-04-06 16:32:00,92.34,92.37,92.34,92.37,1008
2023-04-06 16:31:00,92.35,92.36,92.35,92.35,712
2023-04-06 16:30:00,92.35,92.35,92.34,92.34,1679
2023-04-06 16:27:00,92.34,92.34,92.34,92.34,963
2023-04-06 16:26:00,92.36,92.36,92.34,92.34,1571
2023-04-06 16:25:00,92.37,92.37,92.36,92.36,1177
2023-04-06 16:22:00,92.4,92.4,92.4,92.4,2190
2023-04-06 16:21:00,92.39,92.47,92.39,92.39,1383
2023-04-06 16:20:00,92.38,92.38,92.38,92.38,1335
2023-04-06 16:19:00,92.37,92.37,92.37,92.37,385
2023-04-06 16:18:00,92.38,92.38,92.36,92.36,2707
2023-04-06 16:17:00,92.4,92.4,92.4,92.4,397
2023-04-06 16:16:00,92.4,92.4,92.4,92.4,415
2023-04-06 16:15:00,92.43,92.43,92.43,92.43,1815
2023-04-06 16:14:00,92.42,92.485,92.42,92.485,7947
2023-04-06 16:13:00,92.44,92.44,92.44,92.44,747
2023-04-06 16:10:00,92.44,92.44,92.41,92.41,2188
2023-04-06 16:09:00,92.47,92.47,92.47,92.47,1990
2023-04-06 16:08:00,92.42,92.47,92.42,92.43,4226
2023-04-06 16:07:00,92.42,92.42,92.42,92.42,914
2023-04-06 16:06:00,92.4,92.42,92.4,92.42,1032
2023-04-06 16:05:00,92.42,92.43,92.39,92.4,1201
2023-04-06 16:04:00,92.47,92.47,92.44,92.44,1460
