time,open,high,low,close,volume
2022-06-10 19:56:00,39.2,39.2,39.2,39.2,720
2022-06-10 19:47:00,39.21,39.21,39.21,39.21,103
2022-06-10 19:45:00,39.25,39.25,39.18,39.18,3234
2022-06-10 19:43:00,39.23,39.23,39.23,39.23,257
2022-06-10 19:38:00,39.27,39.27,39.26,39.26,394
2022-06-10 19:37:00,39.29,39.3,39.29,39.3,1000
2022-06-10 19:26:00,39.23,39.23,39.23,39.23,3272
2022-06-10 19:12:00,39.22,39.22,39.22,39.22,255
2022-06-10 19:10:00,39.3,39.3,39.3,39.3,250
2022-06-10 19:04:00,39.21,39.21,39.21,39.21,255
2022-06-10 18:53:00,39.25,39.26,39.25,39.26,630
2022-06-10 18:51:00,39.25,39.25,39.25,39.25,204
2022-06-10 18:36:00,39.21,39.27,39.2,39.27,755
2022-06-10 18:34:00,39.22,39.22,39.22,39.22,202
2022-06-10 18:33:00,39.26,39.26,39.22,39.22,2000
2022-06-10 18:31:00,39.3,39.3,39.3,39.3,195
2022-06-10 18:29:00,39.3,39.3,39.3,39.3,304
2022-06-10 18:17:00,39.28,39.28,39.28,39.28,105
2022-06-10 18:15:00,39.28,39.28,39.28,39.28,338
2022-06-10 18:03:00,39.3,39.3,39.3,39.3,253
2022-06-10 18:01:00,39.32,39.32,39.32,39.32,111
2022-06-10 17:59:00,39.31,39.31,39.31,39.31,255
2022-06-10 17:51:00,39.3,39.3,39.3,39.3,305
2022-06-10 17:50:00,39.3,39.3,39.3,39.3,246
2022-06-10 17:47:00,39.3,39.3,39.3,39.3,120
2022-06-10 17:37:00,39.31,39.31,39.31,39.31,140
2022-06-10 17:35:00,39.31,39.31,39.31,39.31,206
2022-06-10 17:18:00,39.312,39.312,39.312,39.312,139
2022-06-10 17:14:00,39.3,39.3,39.27,39.27,239
2022-06-10 17:12:00,39.26,39.26,39.26,39.26,102
2022-06-10 17:11:00,39.26,39.26,39.26,39.26,121
2022-06-10 17:10:00,39.22,39.25,39.22,39.25,352
2022-06-10 17:08:00,39.25,39.25,39.25,39.25,205
2022-06-10 17:05:00,39.229,39.229,39.229,39.229,104
2022-06-10 17:02:00,39.26,39.26,39.21,39.21,1757
2022-06-10 17:00:00,39.25,39.25,39.25,39.25,1271
2022-06-10 16:57:00,39.33,39.33,39.33,39.33,432
2022-06-10 16:54:00,39.35,39.35,39.35,39.35,1002
2022-06-10 16:50:00,39.26,39.26,39.26,39.26,230
2022-06-10 16:45:00,39.357,39.357,39.357,39.357,131
2022-06-10 16:43:00,39.25,39.25,39.25,39.25,802
