time,open,high,low,close,volume
2022-11-09 19:48:00,225.02,225.02,225.02,225.02,309
2022-11-09 19:46:00,225.19,225.2,225.19,225.2,1022
2022-11-09 19:45:00,225.19,225.19,225.18,225.19,694
2022-11-09 19:43:00,225.2,225.2,225.15,225.15,1101
2022-11-09 19:42:00,224.95,225.15,224.95,225.15,2258
2022-11-09 19:41:00,224.9,224.9,224.9,224.9,1232
2022-11-09 19:40:00,224.9,224.9,224.9,224.9,237
2022-11-09 19:39:00,224.9,224.9,224.9,224.9,616
2022-11-09 19:38:00,224.94,224.95,224.89,224.89,1401
2022-11-09 19:37:00,224.92,224.94,224.92,224.94,382
2022-11-09 19:32:00,224.88,224.88,224.88,224.88,333
2022-11-09 19:30:00,224.91,224.91,224.91,224.91,356
2022-11-09 19:29:00,224.89,224.9,224.89,224.89,1185
2022-11-09 19:28:00,224.78,224.89,224.78,224.89,510
2022-11-09 19:27:00,224.87,224.88,224.76,224.88,1260
2022-11-09 19:26:00,224.89,224.92,224.89,224.89,1377
2022-11-09 19:24:00,224.92,224.93,224.92,224.93,1016
2022-11-09 19:23:00,224.99,224.99,224.99,224.99,200
2022-11-09 19:22:00,224.96,224.99,224.85,224.85,464
2022-11-09 19:21:00,224.84,224.94,224.84,224.94,1181
2022-11-09 19:20:00,224.7,224.84,224.7,224.84,8233
2022-11-09 19:19:00,224.8,224.8,224.7,224.7,2315
2022-11-09 19:16:00,224.7,224.7,224.7,224.7,685
2022-11-09 19:15:00,224.74,224.74,224.73,224.74,936
2022-11-09 19:13:00,224.75,224.76,224.68,224.73,1172
2022-11-09 19:11:00,224.86,224.86,224.8,224.8,2517
2022-11-09 19:09:00,224.94,224.94,224.94,224.94,616
2022-11-09 19:08:00,224.89,224.89,224.89,224.89,610
2022-11-09 19:07:00,224.91,224.91,224.91,224.91,600
2022-11-09 19:06:00,224.92,224.98,224.92,224.98,1929
2022-11-09 19:05:00,224.77,224.77,224.73,224.73,2868
2022-11-09 18:58:00,224.85,224.93,224.85,224.93,549
2022-11-09 18:48:00,224.59,224.59,224.59,224.59,106
2022-11-09 18:45:00,224.93,224.93,224.93,224.93,306
2022-11-09 18:37:00,224.62,224.62,224.62,224.62,1032
2022-11-09 18:36:00,224.65,224.65,224.65,224.65,1020
2022-11-09 18:30:00,224.7999,224.7999,224.7999,224.7999,1013
2022-11-09 18:26:00,224.76,224.76,224.76,224.76,160
2022-11-09 18:22:00,224.74,224.74,224.74,224.74,225
2022-11-09 18:19:00,224.73,224.73,224.73,224.73,239
2022-11-09 18:18:00,224.71,224.71,224.71,224.71,225
2022-11-09 18:11:00,224.75,224.75,224.75,224.75,198
2022-11-09 18:10:00,224.77,224.77,224.77,224.77,234
2022-11-09 18:09:00,224.75,224.75,224.75,224.75,205
2022-11-09 18:03:00,225.1,225.1,225.1,225.1,618
2022-11-09 18:00:00,224.98,225.06,224.98,225.05,1191
2022-11-09 17:59:00,224.75,224.75,224.75,224.75,248
2022-11-09 17:52:00,224.66,224.66,224.66,224.66,524
2022-11-09 17:44:00,224.65,224.65,224.65,224.65,214
2022-11-09 17:42:00,224.7,224.7,224.67,224.67,1559
2022-11-09 17:36:00,224.67,224.67,224.67,224.67,227
2022-11-09 17:33:00,224.9194,224.92,224.9194,224.92,517
2022-11-09 17:23:00,224.9,224.9,224.74,224.74,346
2022-11-09 17:19:00,224.9196,224.92,224.9196,224.92,1829
2022-11-09 17:16:00,224.72,224.72,224.72,224.72,231
2022-11-09 17:11:00,225.12,225.12,225.12,225.12,231
2022-11-09 17:05:00,224.86,224.86,224.86,224.86,334
2022-11-09 16:59:00,224.87,224.87,224.87,224.87,226
