time,open,high,low,close,volume
2021-12-14 18:44:00,99.78,99.78,99.78,99.78,500
2021-12-14 18:42:00,99.55,99.55,99.55,99.55,497
2021-12-14 17:44:00,99.6,99.6,99.6,99.6,1030
2021-12-14 17:32:00,99.55,99.55,99.55,99.55,250
2021-12-14 17:13:00,99.75,99.75,99.75,99.75,318
2021-12-14 17:06:00,99.63,99.63,99.63,99.63,287
2021-12-14 16:28:00,100.0,100.0,100.0,100.0,102
2021-12-14 16:18:00,100.0,100.0,100.0,100.0,500
2021-12-14 16:04:00,99.89,99.89,99.89,99.89,99758
2021-12-14 16:03:00,99.89,99.89,99.89,99.89,61419
2021-12-14 16:01:00,99.9,99.9,99.9,99.9,9121
2021-12-14 15:59:00,99.9,99.95,99.82,99.9,250254
2021-12-14 15:58:00,99.78,99.905,99.76,99.9,83758
2021-12-14 15:57:00,99.77,99.79,99.74,99.78,64586
2021-12-14 15:56:00,99.81,99.81,99.755,99.78,53875
2021-12-14 15:55:00,99.79,99.86,99.78,99.815,67641
2021-12-14 15:54:00,99.84,99.93,99.75,99.795,48029
2021-12-14 15:53:00,99.8,99.905,99.79,99.84,50409
2021-12-14 15:52:00,99.79,99.82,99.71,99.81,48767
2021-12-14 15:51:00,99.775,99.845,99.76,99.79,65358
2021-12-14 15:50:00,99.76,99.8,99.735,99.775,51205
2021-12-14 15:49:00,99.74,99.775,99.7,99.755,24676
2021-12-14 15:48:00,99.79,99.805,99.73,99.74,20873
2021-12-14 15:47:00,99.739,99.795,99.73,99.795,24620
2021-12-14 15:46:00,99.7,99.73,99.6,99.73,68619
2021-12-14 15:45:00,99.73,99.745,99.67,99.69,49598
2021-12-14 15:44:00,99.74,99.745,99.69,99.73,53788
2021-12-14 15:43:00,99.81,99.82,99.7401,99.745,25944
2021-12-14 15:42:00,99.885,99.89,99.8,99.81,24665
2021-12-14 15:41:00,100.0,100.0,99.885,99.89,19489
2021-12-14 15:40:00,100.07,100.07,99.97,100.005,36055
2021-12-14 15:39:00,100.08,100.085,100.001,100.06,25769
2021-12-14 15:38:00,100.13,100.16,100.08,100.09,17511
2021-12-14 15:37:00,100.17,100.19,100.105,100.13,29550
2021-12-14 15:36:00,100.1,100.17,100.1,100.165,41833
2021-12-14 15:35:00,100.045,100.11,100.045,100.0999,17133
2021-12-14 15:34:00,100.065,100.09,100.01,100.045,19371
2021-12-14 15:33:00,99.985,100.06,99.985,100.06,29156
2021-12-14 15:32:00,99.99,100.015,99.95,99.98,21297
2021-12-14 15:31:00,99.96,100.01,99.96,100.0,25951
2021-12-14 15:30:00,99.98,100.0,99.94,99.96,13318
2021-12-14 15:29:00,99.935,99.98,99.905,99.98,13382
2021-12-14 15:28:00,99.82,99.94,99.82,99.935,19065
2021-12-14 15:27:00,99.91,99.915,99.82,99.83,13482
2021-12-14 15:26:00,99.9,99.925,99.9,99.91,9047
2021-12-14 15:25:00,99.92,99.93,99.88,99.9,15711
2021-12-14 15:24:00,99.915,99.935,99.88,99.915,25937
2021-12-14 15:23:00,99.91,99.93,99.9,99.915,10472
2021-12-14 15:22:00,99.915,99.93,99.89,99.92,12192
2021-12-14 15:21:00,99.88,99.92,99.87,99.91,12639
2021-12-14 15:20:00,99.855,99.93,99.82,99.88,18768
2021-12-14 15:19:00,99.795,99.865,99.795,99.85,14452
2021-12-14 15:18:00,99.79,99.83,99.78,99.795,16630
2021-12-14 15:17:00,99.8,99.82,99.79,99.8,10050
2021-12-14 15:16:00,99.835,99.8681,99.75,99.79,23922
2021-12-14 15:15:00,99.9,99.905,99.83,99.84,19100
2021-12-14 15:14:00,99.8589,99.91,99.8589,99.91,13151
2021-12-14 15:13:00,99.9462,99.9462,99.865,99.865,9485
2021-12-14 15:12:00,99.945,99.98,99.94,99.94,11737
2021-12-14 15:11:00,100.02,100.02,99.94,99.94,4800
2021-12-14 15:10:00,100.0,100.08,99.99,100.03,15422
2021-12-14 15:09:00,99.98,100.0199,99.96,99.99,13701
2021-12-14 15:08:00,99.985,100.0,99.98,99.98,11256
2021-12-14 15:07:00,99.99,100.015,99.955,99.98,8890
2021-12-14 15:06:00,99.985,100.04,99.95,99.98,13599
2021-12-14 15:05:00,99.98,100.02,99.97,99.985,16438
2021-12-14 15:04:00,99.91,99.975,99.88,99.97,12709
2021-12-14 15:03:00,99.81,99.91,99.81,99.91,10442
2021-12-14 15:02:00,99.83,99.87,99.8001,99.81,11030
2021-12-14 15:01:00,99.85,99.88,99.82,99.85,12876
2021-12-14 15:00:00,99.74,99.86,99.74,99.84,10862
2021-12-14 14:59:00,99.75,99.78,99.73,99.74,9156
2021-12-14 14:58:00,99.77,99.8,99.725,99.75,11679
2021-12-14 14:57:00,99.78,99.8099,99.77,99.78,8720
2021-12-14 14:56:00,99.79,99.825,99.76,99.77,11173
2021-12-14 14:55:00,99.8,99.81,99.72,99.79,15395
2021-12-14 14:54:00,99.9,99.92,99.79,99.81,15425
2021-12-14 14:53:00,99.855,99.92,99.84,99.9143,15010
2021-12-14 14:52:00,99.78,99.88,99.78,99.87,17861
2021-12-14 14:51:00,99.7799,99.835,99.74,99.79,35495
2021-12-14 14:50:00,99.73,99.78,99.73,99.77,13202
2021-12-14 14:49:00,99.72,99.76,99.71,99.73,14517
2021-12-14 14:48:00,99.75,99.77,99.705,99.72,11063
2021-12-14 14:47:00,99.71,99.7568,99.7,99.755,10378
2021-12-14 14:46:00,99.75,99.78,99.7,99.7,9039
2021-12-14 14:45:00,99.68,99.76,99.67,99.745,13736
2021-12-14 14:44:00,99.68,99.71,99.64,99.6823,8534
2021-12-14 14:43:00,99.64,99.71,99.635,99.69,12140
2021-12-14 14:42:00,99.61,99.65,99.6,99.64,12187
2021-12-14 14:41:00,99.63,99.6633,99.59,99.59,7747
2021-12-14 14:40:00,99.56,99.66,99.55,99.63,11326
2021-12-14 14:39:00,99.6,99.6,99.54,99.56,9657
2021-12-14 14:38:00,99.63,99.64,99.57,99.6,10439
2021-12-14 14:37:00,99.63,99.65,99.55,99.63,17051
2021-12-14 14:36:00,99.56,99.62,99.56,99.6,7402
2021-12-14 14:35:00,99.54,99.6029,99.5,99.56,17992
2021-12-14 14:34:00,99.5,99.585,99.5,99.54,15597
2021-12-14 14:33:00,99.45,99.51,99.45,99.5,9519
2021-12-14 14:32:00,99.51,99.51,99.45,99.45,6748
2021-12-14 14:31:00,99.515,99.53,99.41,99.5,11983
2021-12-14 14:30:00,99.525,99.54,99.48,99.515,9100
2021-12-14 14:29:00,99.535,99.58,99.39,99.532,32796
2021-12-14 14:28:00,99.555,99.56,99.51,99.54,12706
2021-12-14 14:27:00,99.57,99.6,99.5,99.57,19756
2021-12-14 14:26:00,99.62,99.65,99.57,99.57,6194
2021-12-14 14:25:00,99.615,99.665,99.6,99.625,15158
2021-12-14 14:24:00,99.5824,99.63,99.58,99.6,17313
2021-12-14 14:23:00,99.68,99.71,99.58,99.58,22446
2021-12-14 14:22:00,99.74,99.74,99.67,99.68,13501
2021-12-14 14:21:00,99.87,99.87,99.71,99.7198,19168
2021-12-14 14:20:00,99.91,99.93,99.8401,99.8766,17800
2021-12-14 14:19:00,99.89,99.935,99.89,99.9298,7158
2021-12-14 14:18:00,99.88,99.91,99.87,99.89,5658
2021-12-14 14:17:00,99.93,99.96,99.87,99.89,14305
2021-12-14 14:16:00,99.97,99.975,99.93,99.93,13730
2021-12-14 14:15:00,99.94,99.97,99.91,99.96,19130
2021-12-14 14:14:00,100.01,100.0303,99.94,99.94,14433
2021-12-14 14:13:00,100.06,100.1,100.01,100.01,23266
2021-12-14 14:12:00,100.03,100.0713,99.99,100.07,15355
2021-12-14 14:11:00,99.98,100.0357,99.965,100.02,21527
2021-12-14 14:10:00,99.9297,100.0,99.91,99.99,15830
2021-12-14 14:09:00,99.905,99.96,99.83,99.92,33247
2021-12-14 14:08:00,99.89,99.95,99.87,99.91,15289
2021-12-14 14:07:00,99.83,99.91,99.83,99.89,10435
2021-12-14 14:06:00,99.85,99.86,99.805,99.82,9773
2021-12-14 14:05:00,99.79,99.86,99.79,99.85,13435
2021-12-14 14:04:00,99.73,99.8357,99.72,99.79,9872
2021-12-14 14:03:00,99.74,99.78,99.7,99.7496,13074
2021-12-14 14:02:00,99.7,99.76,99.67,99.75,8843
2021-12-14 14:01:00,99.81,99.81,99.615,99.68,43408
2021-12-14 14:00:00,99.74,99.81,99.73,99.81,17951
2021-12-14 13:59:00,99.69,99.75,99.69,99.75,6954
2021-12-14 13:58:00,99.64,99.71,99.62,99.7,14977
2021-12-14 13:57:00,99.66,99.67,99.61,99.66,15658
2021-12-14 13:56:00,99.63,99.67,99.63,99.66,6059
2021-12-14 13:55:00,99.7,99.705,99.615,99.63,16069
2021-12-14 13:54:00,99.64,99.695,99.62,99.69,12233
2021-12-14 13:53:00,99.6798,99.69,99.6,99.64,14010
2021-12-14 13:52:00,99.67,99.75,99.64,99.685,14545
2021-12-14 13:51:00,99.715,99.78,99.68,99.68,25448
2021-12-14 13:50:00,99.7025,99.72,99.7,99.71,7109
2021-12-14 13:49:00,99.78,99.79,99.69,99.69,17805
2021-12-14 13:48:00,99.8275,99.83,99.7709,99.7805,12710
