time,open,high,low,close,volume
2022-12-09 19:59:00,7.09,7.09,7.09,7.09,563
2022-12-09 19:56:00,7.0995,7.0995,7.0995,7.0995,500
2022-12-09 19:54:00,7.1,7.1,7.1,7.1,310
2022-12-09 19:52:00,7.09,7.09,7.09,7.09,335
2022-12-09 19:48:00,7.1,7.1,7.1,7.1,511
2022-12-09 19:46:00,7.1,7.1,7.09,7.09,1172
2022-12-09 19:43:00,7.1,7.1,7.1,7.1,350
2022-12-09 19:42:00,7.1,7.1,7.1,7.1,1000
2022-12-09 19:40:00,7.1,7.1,7.09,7.09,1180
2022-12-09 19:36:00,7.1,7.1,7.1,7.1,201
2022-12-09 19:33:00,7.1,7.1,7.1,7.1,155
2022-12-09 19:17:00,7.1,7.1,7.1,7.1,250
2022-12-09 19:16:00,7.1,7.1,7.1,7.1,300
2022-12-09 19:15:00,7.1,7.1,7.1,7.1,200
2022-12-09 19:12:00,7.1,7.1,7.1,7.1,301
2022-12-09 19:04:00,7.1,7.1,7.1,7.1,959
2022-12-09 19:01:00,7.095,7.1,7.095,7.1,4300
2022-12-09 18:57:00,7.095,7.095,7.09,7.09,1503
2022-12-09 18:56:00,7.09,7.09,7.09,7.09,415
2022-12-09 18:51:00,7.095,7.095,7.095,7.095,1455
2022-12-09 18:49:00,7.095,7.095,7.095,7.095,300
2022-12-09 18:48:00,7.09,7.09,7.09,7.09,100
2022-12-09 18:40:00,7.0996,7.0996,7.09,7.09,403
2022-12-09 18:36:00,7.09,7.09,7.09,7.09,940
2022-12-09 18:31:00,7.0899,7.0899,7.0899,7.0899,100
2022-12-09 18:30:00,7.09,7.09,7.09,7.09,1551
2022-12-09 18:23:00,7.08,7.08,7.08,7.08,100
2022-12-09 18:22:00,7.09,7.09,7.09,7.09,114
2022-12-09 18:17:00,7.09,7.09,7.09,7.09,100
2022-12-09 18:15:00,7.09,7.09,7.09,7.09,206
2022-12-09 18:02:00,7.09,7.09,7.09,7.09,112
2022-12-09 17:57:00,7.09,7.09,7.08,7.08,2310
2022-12-09 17:47:00,7.09,7.09,7.09,7.09,5000
2022-12-09 17:46:00,7.09,7.09,7.09,7.09,1955
2022-12-09 17:44:00,7.09,7.09,7.09,7.09,293
2022-12-09 17:40:00,7.09,7.09,7.09,7.09,135
2022-12-09 17:38:00,7.0801,7.0801,7.0801,7.0801,301
2022-12-09 17:30:00,7.08,7.08,7.08,7.08,110
2022-12-09 17:27:00,7.0801,7.0801,7.0801,7.0801,204
